comment	label
제발 저 뚱띠 기사쫌내지마라 지	1
비호감~~ 안물안굼	1
면상이 물장사 할면상이다나이먹은  마담ㅎㅎ	1
얼굴에 심술이 덕지덕지	1
나오지마라 너네 자매 좀. 제발	1
2019 비호감 대상을 뽑으라면 압도적 1위 홍진영 언니 2위 홍진영 3위 홍진영 엄마 셋다 보통 넘을거 같음 인상이 아주....	1
인도 아줌마 같아요	1
술집마담처럼 생겼다. 싼티작렬~~~	1
얘 땜에 요즘 홍진영도 요즘 비호감이야 얘네 엄마도	1
안궁금이 아니고 극혐임..	1
관상이 참 안좋음...	1
언니때문에 동생까지 비호감 됨ㅋㅋ	1
왜자꾸나오는건지 이해가안되네ㅡㅡ	1
어디가 갸름?20kg빼서 어쨌다고?왜 저런 뚱땡이 몸무게까지 온국민이 알아야 함??	1
관상은 딱~ 깡패 술장사 아님 무당..버닝썬죽순이 술값만 천만원단위술쳐먹음	1
"왜 이리 인상이 싸나워 ㅎㄷㄷㄷ 하는 행동거지나 말투 자체가 딱 쌍스러움 그 자체. 객기도 있어서 본인 되게 걸크인 줄 착각하는 듯 ㅉㅉㅉ 버닝썬 들락거리던 약쟁이람서, 그것도 벼슬인 줄 아는 듯~"	1
역겨움	1
이년보면 쭈그려않아 담배처물고있는 모습 딱 나온다	1
술집여자라며...마약도하도 성매매도하고	1
요즘은 연예인도 아닌데 연예인병에 걸리는 관종 가족들이 많아졌다. 그냥 사는 걸 찍고 출연료를 날로 받아먹는 쓰레기 관찰예능이 많아졌기 때문이다.	1
정보) 22kg을 빼도 아직 비만이고 과체중이다	1
"아,,,애땜에 홍진영도 싫어졋어"	1
디즈니 영화 인어공주에 나오는 악당 닮았어요 ^^	1
"끈질기게, 꾸준하게, 징하게, 구질구질하게,  뜬금없이 겨나온다"	1
꺼지고 기어 나오지마라 뭔데 자꾸 기어나오냐?? 짜증난다 홍진영은 뭔데 일반인  외모의 지 언니 방송출연 시키냐??  같이 짜증난다	1
살빼면 다 이쁜건 아닌가보오.......몬가 징그럽소 .......백설공주에 등장하는 새엄마 같소....	1
아클럽죽순이분? 해명먼저 하시고 하세요 진짜 마담같기는하네요	1
홍선영은 무당 관상이라 비호감............살빼도 당첨안된 복권~~~!!!!!!!!	1
팥쥐 엄마상. 걘적으로 젤 극혐하는 인물상	1
넘무섭게생겻음	1
술집마담 이람서요? ㅋㅋㅋ	1
리즈미모같은소리하고 자빠졌네 ㅋ 저여자가 연예인이여?  리즈시절이 어떤모양인디? 기자야 너는  저여자 리즈시절 알고지냈냐?   살빠져도 무당같음 ㅋ	1
무당인줄~	1
비호감	1
무당같디	1
술장사한다는 그분!! 거기에 현플렉스가게도 갔지..더욱이 구아레나 단골!! 백수라고? 백수 구라란거 다 들통났지! 전부 구라친 저 돼지 ㄴ!!! 집안자체가 구라에 일심동체!	1
너무싫다비호감이여완전	1
이 여자 기사좀 쓰지마쇼. 방송 나오는것도 꼴보기 싫고만.. 일반 뚱땡이 살뺀걸 기사로까지 봐야되는거야?	1
젤 싫은 여자스타일. 뚱뚱하고 성격더럽고 기세고 거기다 지가 예쁜줄아는 자신감까지. 젤 싫다 저런 스타일 같이 사회생활해보면 답없음	1
아따 놀래라.사납게 생깄네	1
무당같이 생겨서 부담스러워요	1
이 년 정체가 뭐냐 말 많이 떠돌던데	1
동생 덕에 인기몰이 하고 ...요즘 미운새 안 본지가 오래라..그중 하나가 저 훵 자매 보기 싫은 먹방 덕에 안봄	1
싫은데 왜이렇게 나오는거야~	1
아직 갈 길이 구만리로 보이는데 무슨 리즈 미모야... 기자는 저 일반인 여자한테 돈이라도 받고 기사 쓰는 거야?? 어딜 봐서 리즈 미모야?! 성형 심하게 해서 부담스런 강남언니인데?!	1
살을 빼도 저 심술보터진 돼지 관상은 여전하구만. 아 돼지새끼	1
아.....분명 뭘 닮았는데........ 만화에 나오는 무슨 마녀 닮았는데 분명히....아 답답.........	1
살빼도 무당 관상이네	1
누구에요   놀부처럼생긴사람	1
다이어트가 최고의 성형이 아니였어 ㅜㅜ인상이 더 나빠보이네 ㅠㅠ	1
관상을 괜히 보는 게 아님	1
뚱땡이 근황까지 우리가 알아야하나??	1
그래봐야  얼큰이지	1
몇일전에 논현동에서 길 지나가다 봣는데.. 살은 쫌 빠진거 같던데 이정도는 아니던데? 아직도 뚱뚱하둔데? ㅋㅋㅋㅋㅋ	1
승리보다 더한 더러운년	1
