comment,label
 표정은 즐거운 표정이네 ,0
 국립발레단에 들려는 사람많다 꺼져라 ,1
 법은 한국남자 위해 만들어진거니까 쟤 잘레단 다시들어가겟지 뭐 한국남자에겐 관대한게 이 나라 법이니까 ,1
 사과는 를 통해 불특정 다수에게 할 것이 아니라 단장이랑 단원들 한테 해야지 대중은 그냥 꼴보기 싫을 뿐이지 피해본건 전혀 없음 ,0
 속이 너무 보인다 나대지말고 찌그러져살아 ,1
 노무노무 문재인노 ,1
 ㅋㅋ잘릴까보ㅏ 사과하는듯 ,1
 그놈의 여자 외국까지데려가서 어쩌겟다는건지 한심하다 ,1
 뭐래 이미 버스 떠났어 ,1
 왜 년뒤에 사과하지 뭘 벌써 했데 ,1
 이미 재심 결과 나왔는데 발표는 계속 미루면서 나대한이 사과문 쓴거 보면 해고 번복 됐을듯 ,0
 즐기거 다 즐기고 코로나 잠잠해 지니 해고 당한거 재심 신청 했놓고 자숙 ㅋㅋㅋㅋㅋㅋ ,1
 이제와서 사과 왜 짤리니깐 겁나니 이런사람은 ,1
 반성할꺼면 재심은 하지 말아야지 뭔 말이 앞뒤가 다르다냐 ,1
 중범죄다 사람목숨이달린 전세계적 비상사태억 안일한태도로 많은사람을 위험에 내몰았다 ,1
 복직이 될 것 같은가 보구만ㅋㅋ ,0
 자숙이고 나발이고 다른데 이직 준비나해라 ,1
 진짜 자숙하고 반성한다면 재심신청 철회해라 양심이 있다면 대체 무슨 낯짝으로 재심신청이야 ,1
 인정하면 재심신청을 왜하냐 머리쓰고 있네 ,1
 재심 때 유리하게 하려고 억지로 쓴 사과문 ,1
