comment,label
 탑스타만 찍는다는 정관장 우와ㅜㅜ 우리 찬원이 역시 진정한 국민 픽이구나 평범한 대학생 신분으로 현역가수들이랑 대결하느라 수고했으니 이제 빛날일만 남았네 우리찬또 ,0
 찬원님 최고 ,0
 꺼져ㅡㅡ ,1
 찬원님 광고촬영 너무너무 축하해요 항상 응원합니다 꽃길만 걸어요 ,0
 넘넘 축하해요 ,0
 축하 축하 광고하면 바로 삽니다 ,0
 흥해라 이찬원 으다다다다 ㅎㅎ ,0
 일베 이용자가 가장 많은 대구 신천지 회원이 가장 많은 대구 고담시라는 별명을 가진 대구 인건비 가장 싼 대구 여름에 가장 더운 대구 그밖에도 안좋은게 참 많은곳잇데 변할생각없는대구 대구는 자신들이 그렇게 만들고 있어요 전 그래서 대구사람들이 싫어요 찬또배기도 싫어 ,1
 구수해 ㅋㅋㅋ넘 기엽 ,0
 국보급 트롯맨 이찬원 대스타만찍는다는 정관장광고까지 접수 대박신화 쓰자 찬또가하면 나도 한다 동참각 ,0
 이찬원 가수님 응원합니다 진또배기의 그 남자다운 목소리 보배같습니다 그런 목소리 나오기 어렵습니다 광고 앞으로도 계속 찍으실 겁니다 ,0
 이찬원 어버이날 선물은 정관장으로 ,0
 우리 찬원이 보고잡다 ,0
 이야 정관장이라니 탑배우만 찍는 ,0
 제발 꽃길 댓글 달지말라고 지겹다고요 정말 ,1
 재간둥이 이찬원 응원합니다 ,0
 나이깡패에 군필자입니다 울 찬또 대한민국 연예계 독보적인 캐릭터로 사랑받길 이찬원 사랑해 ,0
 역시 광고주님의 탁월하신 선택 이찬원 응원합니다 앞으로 꽃길만 걸어요 ,0
 이찬원 최고최고 ,0
 이찬원 화이팅 ,0
