<<<<<<< HEAD
comment,label
인간아 왜 사니?,1
못생긴거는 어디서 꿀리지 않는 사람인데 너보니 위안이된다 진짜 못생겼다 너,1
관상은 과학이다,1
진짜 좆같네,1
으휴 한심하다 한심해 ㅉㅉㅉㅉ,1
개찐따야 나가 뒤졌으면 좋겠어,1
쟨 그냥 전형적인 일베 찐따더라,1
욕 오지게 먹고 정신 좀 차려라  ㅡㅡ,1
생긴것 부터가 또라이같더라 니부모는 니가 얼마나 쪽팔리겠어.,1
꼴뚜기 같은게 꼴깝떨고 앉았네,1
얼굴 개 혐오스럽데토 나와,1
왜 안죽어?,1
키작고.. 이마 넓고.. 문둥이 눈썹..좁은 어깨..긴 얼굴..썪은얼굴 .. 못생긴 얼굴 대표 나가면 1등 할듯,1
찐따 색기 저거 ㅋㅋ,1
똑똑한척 씨부리는 꼴이 더 멍청해 보이는군,1
너 주변엔 사람이 없어?,1
어디서 짖니,1
뭔 개소리야. ,1
정신장애 있는 분 같은데..,1
아직 안죽었어??죽길 바랐는데 아쉽네..???죽어~,1
못생긴 꼴뚜기 새끼야~~,1
돼지새끼,1
정신과  치료나  받아...,1
진짜 수준보여,1
방송보면서 구역질 나오긴 처음이다. 생긴 것도 그지같은게 말도 그지같이 해,1
이 쭈꾸미새끼는 뭐지 어휴 진짜 이런 존못도 오랜만에 본다ㅋㅋㅋㅋㅋㅋ,1
마스크가 혹성탈출급인디 ㅋㅋㅋ,1
진짜  더럽게 생겼다,1
외모비하 아닙니다 거울좀 보세요,1
헛소리를 정성들여 하네 ㅡㅡ ,1
저 얼굴로 살아가는게 용하다,1
많은 젊은이들이 니면상보고 힘이날듯하네ㅋ 아침부터 빵터졌네ㅋ,1
우웩 십파 눈 배려따 줜나 먹다버린 감자처럼 생겼네 외모가 평균이하인데 장난도 정도껏해야지 전나 토나오게 생긴 시끼,1
진짜 이 말까진 안하려고 했는데 말라 비틀어진 아보카도 껍데기보다 쭈글쭈글하고 못생겼어요,1
드럽게못생긴게 인성도 최악이네,1
목걸이랑 얼굴 극혐,1
진짜 밑바닥 인생이다.. ㅉㅉ,1
헐...저 얼굴로..딱 봐도 학창시절 디지게 맞았을상이네...갑자기 떠오르지않는데 먼 동물이 저렇게 똑닮았는데...전형적으로 못생긴 관종!씨래기같은 넘!,1
세상엔 ㅂㅅ도 너무 많음,1
생긴것도 씹다버린 껌처럼 아무렇게나 생겨가지고 찐따주제에 활개치고 다니네 나가 뒤져라 이 찐따야 ㅠ,1
하...진짜  너무 실타 개밥그릇같은게    진짜 그냥 시러  너무시러가지고 너무짜증나네,1
그 성별 한남충이네,1
길가에 너무 돌아다니지는 말아라;; 니는 악플이 아니라 사람들이 ㄹㅇ로 면전에다가 욕할수도있음ㅇㅇ조심해,1
쌍판 진짜 쳐때려 패주고싶게 생겼다~ ,1
어지간하면 생김새로뭐라안하는데 저놈은 바퀴벌레 쓰레빠로 때렸을때 느낌생각나네,1
엄마는 많이 챙피하겠다.미역국 먹은게 ㅉㅉ.,1
어디서 꼴뚜기왕자같은게 ,1
좆같고 찐따같이 생겼네...진짜 못생겼다,1
이제부터 저놈 죽으라고 계속 악플 달아줘야지~^^,1
개쭈꾸미 같이 생겼네 ㅋㅋㅋㅋ관종새기,1
생긴대로 논다는 말이 이럴때 쓰는거구만...,1
정신병원에 입원해라정신병자는 자기가 정신병자인줄 모르는법,1
남사친도 하기싫은 얼굴인데...악풀 많이 받으실듯 격어보셔~쌩 양아야~,1
저러사람 너무 무서움.. 정상적인 사람이 아닌건 분명함..,1
얼굴 뭐같이 생겼구만,1
개똥보다 못생긴놈 새끼가 지랄떠네,1
와~ 진짜 생긴대로 노는구나 ㅋㅋㅋㅋ,1
어찌 니 얼굴로 ....    어이없는 수준도 안되는.... 정신과 빨리 가보시길..,1
얼굴값ㅆㅅㅌㅊ,1
깨진 타조알같이 생겼네,1
"아 생긴거보소 극혐이다 정말. ,   너도 악플좀 받겠다",1
저 불량 감자는 뭥미? 니주제을 알아라 불량감자야,1
무식하구나. 양심도 없고 사고도 못하고 사는 장애를 가졌으니 참 불쌍타.,1
한남충,1
생긴대로 논다는 말 하나도 안틀렸다 참 생긴대로 가지가지 한다 새키,1
한심하다 진짜,1
관상만 보면 진짜 여자뿐 아니라 남자들도 싫어할 얼굴아니냐 저런얼굴도 있구나,1
약간 촛농 같이 생긴듯,1
와~ 난 처음에 노숙자가  아파트  재활용에 가서  옷 겨우겨우 챙겨 입고 세수도 못하고 나온줄 알았음.나이는 몇살인데? 이마 주름 보고 또한번 놀람.,1
나댈때 나대라 분위기 파악 못하지 공감도 지능에서 나오는거야 머리가 덜 떨어지는거 그렇게 티내고 싶니,1
진짜 마인드 쓰레기다,1
저런 구역질 나게 생긴 면상으로 무슨...그냥 신문지로 얼굴 좀 가려줘,1
부모가 교육을 얼마나 뭣같이시켰길래 저런사고방식을 하는 짐승만도못한게 숨쉬고사는건지..,1
저승사자는 저런사람 안데려가고 뭐하나,1
얼굴이 악플이네..,1
왠만하면 얼굴 갖고 뭐라 안하는데 얼굴보고 인성까지 짐작되는건 왜지,1
근데 그 피씨방 살해사건 범인 닮았지않나요? 진짜 관상은 과학이네요.,1
장애인처럼 생겼네,1
너한테는 악플도 아깝다. 듣보관종아,1
쓰레기인거 전국에 인증!! ,1
뭐여 저 감자같은 놈은,1
어금니아빠랑 비슷한느낌,1
어휴~~생긴것도 그지같이 생긴게 ,1
"생긴 것보다 생각이 너무 구려, 당신. ",1
생긴것도 말하는것도 보면 친구는 커녕 가족도 없을 느낌..,1
불량감자같이 생겼네요,1
쭈꾸미같이 생긴게,1
욕이 아깝다.ㅡㅡ ,1
너도 죽도록 욕먹어야 한다.,1
둘리친구 도우너 닮아따ㅋㅋㅋㅋㅋㅋㅋ,1
죽은 사람을 이용해 돈벌이 하는 사람같아 보임.,1
야임마..... 진짜.. 생긴거.. 임마......,1
너무 못생겼잖아 너가 이러면 못생긴사람들에 대한 편견 생길것같은데 선한 못생긴사람들은 무슨죄냐?,1
진짜 씹다뱉은 오징어처럼 생겼다..,1
저사람 눈빛이 또라이인데 정신장애있어보여,1
이 인간도 아닌새끼야,1
와 진짜 저런 와꾸에 무슨 자신감,1
1000억 부자여도 안 만나요,1
와 진짜 못생겼다 너 ㅋㅋ 그러니까 밖에 못나가고 방구석에나 쳐박혀서 키보드나 두드리고 있지,1
ㅋㅋㅋ누가봐도일베찐따더라 ㅡ ㅡㅋ,1
생기다말게생겨서,1
먹다터진 만두같이생긴게 ,1
범죄자 처럼 생기셨어요,1
리플리증후군이 아닐까싶다 모쏠추남 상상연애,1
일베관상.  딱이다~,1
정신병이 깊구나,1
뭔데저원숭이는 얼굴보자마자기사안읽어도대충 어떤놈인지판단됨,1
그냥 밧줄로 목 졸라 죽여버리고싶다.... 아니면 그냥 칼부림으로 계속 쑤시던가,1
학창 시절 꼭 저렇게 생긴색히 한명은 있었는데 죄다 그지같은 인성이었는데 관상은 과학이다,1
생긴게왜그래 뭔일있던거야?,1
인면어같다,1
어개창같이생겨가지고 ㅈㄹ,1
아휴.. 왜 저러고 사냐..,1
진짜; 꼴뚜기같이생긴게,1
기형아 처럼새긴 새기도 밥쳐먹고 사는거 보면 참 신기하다.,1
음... 참 젖같이 생겼네,1
당신은 사람 아닌 짐승만도 못한 생각을 하시네요,1
그냥 동네땅꼬마고만,1
우와 씹 땅꽁새깨 ㅋㅋㅋㅋㅋ 부모가 가만두냐? 너같은걸~~~,1
진찌 개나소나....징징대지 말고,1
생긴대로 노네 ㅉㅉ,1
줘도 안가질 인격,1
저런거 낳고 먹은 미역국이 넘어갈까???,1
불량감자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
니 쌍판 감내하고 사느라 고생이 많다^^,1
세상에서 제일 고통스럽게 죽었으면 좋겠다,1
저 남자 못생긴 걸 떠나서 진짜 복없게도 생겼다.,1
저 정도면 관종을 넘어선 싸이코패스다.,1
이런거볼때면... .... 관상이라는걸 한번 공부해보고 싶게함ㅋ 생긴거대로 놀고있느니ㅉㅉ,1
쟤도 가족이 있을텐데.. 엄마 아빠는 무슨죄 저런 자식 둬서 얼마나 쪽팔릴까,1
"쟤는 농담이 아니라, 조만간 성형이라도 안하면 진짜 큰일나겠다. 안 그래도 생김새가 착각할 수도 없이 개성넘치게 생긴 마당에, 공중파로 저런 모습이 나와버렸으니 길거리에 마주치면 긴가민가할 필요 없이 바로 확신하고 테러당할 수도 있겠는데....",1
저런 정신.병자가 이사회에 활개친다는게 이해가안될뿐..정신감정필요하다..,1
뭐고 에에리언대갈빡은..,1
새우 젓같이 생긴게 생긴대로 논다,1
꼴뚜기젓갈같이 생긴놈이 뭐라고??,1
진짜 생긴대로 노네,1
생긴게~ 우웩 너도 감내해라,1
관상은 과학입니다,1
못생긴새끼야,1
으..눈 베렸음..모자이크 처리해주세요!!,1
욕도 아깝다 저따구로 생긴얼굴 모자이크좀 해주지..,1
관종이란말이 뭔말인고 했더니 너같은 놈을 두고 한말이구나..지지리도 못 생긴게 생긴대로 논다 너.,1
참~~~ 생긴대로 산다...,1
일베가또? 진짜 일베 관상 이란게 잇나?,1
개극혐,1
저 새끼 평생 누워지내길 기원합니다,1
너 성격 썩은 것도 병인데,1
별 마이콜 같은게 나와서 개소리냐,1
관종하나 또 나왔네,1
주둥 아리에  박음질 해라,1
머리에 든게 없냐,1
진짜 사람인가ㄷㄷ,1
야 너도 살다가 죽을수도 있는데  왜 사는거야? ㅋㅋ,1
관종 ,1
저런걸 방송에내보내는게 모욕임,1
아기 공룡 둘리 아빠 컨셉 인가 보다..  많이 닮았다.,1
진짜 얼굴 .....하.......... 관심끌라고 별짓다하네,1
인성쓰레기,1
얼굴도 존나 빻았네 ㅋㅋ,1
집에 거울이 없나봅니다,1
"세상은 넓고,또라이는 많구나...",1
웬만하면 외모 이야기 안할려고 했는데 정말 못생겼네~,1
넌  진짜 쓰레기야.. 인간성 개쩌네..,1
진짜 밥맛없게 생겼는데 하는짓도 말하는것도 ㅂㅅ..,1
옷도 어디서 개찐따처럼 입고나와서 ㅋㅋㅋㅋㅋㅋㅋ,1
거울 좀 보고살아라.,1
곰곰히 생각해 봤는데 영화 E.T 가 떠오르더라,1
잘생기면 얼굴값이라고나 하지 ..  꼴값하네,1
이번에도 또느끼고 갑니다 역시 사람은 생긴대로 노네...,1
사람탈 쓰고 동물보다 못한 생각을 가지고 있으니 ㅉㅉ,1
그러니까 니 와꾸가 크흠 말을 말자,1
화생방 하고 나온 동기들 전부보다 못 생긴건 첨이네,1
넘 못생긴거아님??? 원래 저리 생겼음?,1
와 저색이 뭐가 저따구로 생겼냐..,1
아 .진짜댓글안다는데..지랄도풍년이다 ..왜사냐..,1
아오 꼴보기싫어 면상치워라 캭!!!퉤!!!,1
신인류의 등장인가? 정말 괴기스럽다,1
쟤 그냥 모자란애 자나 지능 많이 낮던데,1
어제 방송보니 뚤린입이라고니맘돼로 지껄이더라.,1
씹다뱉은 껌 처럼 생긴게 염병하고 자빠졋네,1
뜰려고 발악을하네 ,1
저렇게 생겼구나...이제 이해가 간다 저얼굴로 세상을 살아가니 불만이 많을수 밖에 어느 누가 친해지고 싶겠어ㅉㅉ,1
와꾸는 알파카처럼 생긴새끼가ㅋㅋㅋㅋㅋ사람흉내내고 있냨ㅋㅋㅋㅋㅋㅋ,1
진짜 못생겼다 그냥 니.가. 못.생.기.게. 태.어.난. 거.야. 찌질아~평생 열등감속에 사는게 팔자인가 봄.,1
역시 외모가 그사람의 인성까지 보여주는구나어쩜 생긴대로 노는지,1
아 진짜 욕나오게 생겼네 ㅋㅋㅋㅋ,1
상종할 가치도 없는 불쌍하지도 않는 새끼야..,1
ㅆㄹㄱ,1
머리부터 발끝까지 싼티 좔좔 ㅋㅋㅋ터진 주댕이라고 나불나불 ㅋㅋㅋ,1
세상에 또라이가 많다는걸 알지만...참 별놈 다본다.,1
일베충은 어째 한결같이 와꾸가 저렇노...,1
머 저렇게생겼다냐?사람얼굴이여?,1
불량감자는뭐여?너  좀 맞아야것다!,1
재건축해도 안되게 생긴 와꾸,1
딱 일베하게 생겼네,1
눈코입 하나하나 다 못생겼다 쟤 추남 단추눈에 주먹고 입툭튀 마른 불량감자네 어좁이도 실화? 추남대표네,1
못생겨갖고  거울부터봐라,1
어디서 썩은 감자같이 생긴게 짖어대고 있어ㅉㅉ 너는 뇌를 장식으로 달고 다니니? 아무런 생각이 없어? 이런 머저리같은 감자를 봤나,1
저새끼 댓글로 죽여보자,1
와 말종이다 말종,1
씹다버린 무말랭이 같이 생겨서는....,1
못생겼으면 마음이라도 좋아야하는데 인성도 영 얼굴도 영 넌 영아니구나  쓰레기마인드 가진게 그냥 중노동 허리쓰는일이나 죽어라 해라,1
애새끼가 사회성이 떨어지고 똥오줌 못가리는게 생긴거랑 말하는거 보니까 백프로 드러난다 불쌍하다ㅉㅉ,1
이제 니 차례가 됐네. 니 면상 못생긴  니 얼굴 온 천하가 알았으니 좋지? ,1
찢어진 주둥아리 잘도 주끼네,1
정신병자,1
가정교육이 중요합니다 못배워서 무식한것들이저런 개소리를 하니 발전이 없는거,1
대단한 관종이다,1
면상 조옷같이 생겼네 저  와꾸로 어찌사냐?,1
썩은감자처럼 생겼네,1
쟤 봤는데 답없더라 …,1
얼굴값하노,1
정신나간 인간이네. ,1
진싱 낸시랭전남편도먼가기분나쁘게못생겼는데얘도그래 그냥못생긴게아니라 기분이나빠,1
불량감자냐??,1
쓰레기,1
원숭이보다못생긴듯?,1
부모가 문제임 아니면 없을수도?,1
괴상하게 생긴 관종,1
정상적인 뇌를 가지고 있는 나로서는 정말 이해가 안되는 인간종류,1
개 패듯이 패고싶다...!!! 진심~ 아! 물론 주어는 없습니다...,1
진짜 비호감스럽게  생겼다 죽빵 날리고 싶은  얼굴  ㅜㅜ,1
니네 부모님이 너 이러는거 아시니.? ㅉㅉ,1
진짜 생긴거 같이 노네 우웩,1
정신세계가 참..,1
얼굴이 다 말해주네,1
한남충,1
쟈살해 주세요,1
다 잡아서 손가락 혀잘라야,1
이젠 니가 상처받아서 똑같이 죽어봐 어떤심정인지.....,1
넵 불량감자 baby,1
얼굴 생긴거 봐라 ㅋ 부모님 널 낳고 우셨을듯 ㅋ,1
여러모로 심각한 새키네ㅎㅎ,1
얼굴도 개떡같이 생겨가지고 그것도 얼굴이냐 구역질이 다나네,1
불량감자?? 오랜만이네ㅋ,1
개빻았네,1
모자이크 좀 부탁합니다. 관상이 보기 괴롭네요,1
원숭이가 자기 똥꼬를 핥는데 의문을 갖지말자.,1
뒤져 시발새끼야,1
땅콩이나와서 저러니,1
생긴게 참 가평잣 같이 생겼다고 생각합니다,1
근데 쟤는 곧 마흔줄이냐?? 이마빡에 주름보소..,1
일베충은 꼭 저렇게 생겼더라...관상이란 정말...,1
정신병자~~,1
너도 꼭 악플 이겨내라 면상보니 이겨낼까 의문이지만,1
나보다  못생긴 유인원 처음본다ㅋㅋㅋㅋ,1
바퀴벌래들...성,1
형외과나 가보지...,1
바보야 거울봐,1
속이 안좋아 ㅜㅜ,1
이 관종은 뭐냐,1
개찐따 참 많다,1
니들은 답이없다,1
얼굴보니 욕이 저절로 나오네,1
