comment,label
얘 휴대폰 좀 뺏어라,1
주위에 누구없나 인터넷못하게먹아라 ,1
완전 ㄸㄹㅇ네,1
감정폭력자,1
그냥 누구 편도 아닌데 정상같지는 않아보임 진심,1
(일산병원정신과031-900-0114)(성안드레아 신경정신병원031-639-3700)(용인정신병원031-288-0114)(가족사랑 서울 정신과 의원 02-2068-7486)(송신경정신과의원02-734-5648)(신경정신과의원02-517-9152)(동민신경정신과02-353-2325)(솔빛정신과의원02-359-9418)(대구정신병원053-630-3000~1)(인천참사랑병원032-571-9111)(부산동래병원 051-508-0011~5) (일산병원 정신과  031-900-0114) (성안드레아 신경정신병원 031-639-3700,1
정신  심리상담이 필요해보이네요,1
얜 미친사람 같아..  정신차려,1
제대로 싸이코,1
이제 국민 밉상이 되버림.. 남은 시간 동안 반성하며 사세요 ,1
제정신인지 위문이 듬,1
진정 성격파탄자의 실사판을 보는듯...,1
와 눈빛봐라 소오름,1
병원 좀 가보세요 정신과요,1
한국은 땅덩어리도 좁은대 정신장애들은 알차게도 많네,1
잊혀지기 싫은가보다ㅋㅋㅋ자기세상에 갇혀 사는 느낌이야,1
분명 얘 가정환경에 문제있다니까,1
그리고 연예계에서 완전 은퇴하길.바란다..당신 때문에 다른 사람들 개고생과 피해봤네..,1
추잡 떨고 있네; ,1
정신과.상담좀 받아봐진짜 문제.있는거 같다  그리고 이제 조용히좀 살어,1
쿵쾅이,1
같이 안 살아봐도 질린다.,1
그냥 말 못하는 반려견  반려묘들하고만 살아야할듯..소통의 상대가 없는 듯하다,1
이쯤되니 자기잘못이 뭔지. 인정도 못하는 자기애 과잉과 공감능력도 떨어지는 소시오패스 성향 있어보임..,1
뇌는 저세상 뇌였다.,1
옆에사람이 지치고 질려버리게 하는 성격이다!!,1
좋게봤었는데 갈수록 맨탈이 이상한애 같네..,1
누가 해킹 시도해서 저년 계정 폭파 좀......,1
하는짓이 노답이고 정신상태가 미숙하니 불쌍해서 주변사람들이 봐주고 배려를 해줘도 정신못차리고 또 나대시내요.,1
정상은 아니라는것.,1
보는 눈이 다르지만..한번도 예쁘다고 생각한적없는 촌티나는 얼굴!!..근데 맘까지 이리 구린줄이야 진짜 미저리같다,1
병인 거 같다.......,1
"조울증 , 경계선 인격(성격)장애. 약물치료 입원치료 필요해보이네요.",1
저러다가 자살 소동 벌이고 민폐의 끝을 보여줄까봐 겁난다. 자존감은 낮은데 자존심만 높다. 그리고 변덕이 죽 끓듯이 하고. 타인의 고통에는 1도 공감하지 못하면서 자신은 아프다고 난리를 친다... 성별을 떠나서 저런 부류가 주변에 있다면 정말 끔찍할 것 같다. ,1
왕따아니야? 찌질해보여. 레알관종?? ㅋㅋㅋㅋㅋㅋ연예계 은따??? 친구가 없나? ,1
가족들은 뭐하고있는건지...딱 봐도 정상이 아닌데 저러다 무슨 사고를 칠지 모르는데 왜 안말리고 놔두는거지??,1
제정신 아닌줄 알았다,1
다재무능... 뭔가 하는건 많은데 잘하는건 없고...,1
너무촌시러워요,1
심리치료가 필요해 보입니다,1
정신 이상자 그 이상도 이하도 아닌,1
원래 한결같이 이상한 애였는데 사랑꾼 예술가 이미지메이킹하길래 왠걸 했더니 역시나..사람은 안변해,1
아프다고 봐주기에는 너무 갔다 용서해수 있는 범위를 한참 넘어섰다,1
그냥..말.그대로..돌아이같음..제정신으로.사는.애가.아닌것같음..뇌구조가.궁금하다.,1
얘 무서워ㅠ 미저리 영화보는것 같애....왜저러냐 진짜?,1
네이버..들어 오기싫다..이 정신병자 때문에,1
성인 ADHD 아닌가요? 전문가는 우울증만 진단한거냐? 저게 우울증이냐? 나도 우울증 진단 받았는데 쟤가 하는 행동이 이해가 안 가는데? 강박도 있는 거 아냐? 너무 이상하다 쟤 혼자 두지 마라 휴대폰도 뺏고!,1
진심 정신과치료를 권하고 싶습니다 이쁜사람이었는데 어쩌다 이리 되었는지... 안쓰럽네요,1
정신병자,1
눈빛이 뭔가 괴기스러움,1
정신과 상담이 심히 필요한 시점이다. ,1
이 분은 원래 이랬는데 결혼 전엔 이정도로 화제가 되지 않았을 뿐.,1
병원좀가보셔요..다니시는곳있으시다면서요?왜이러세요 진짜?,1
무섭다 진짜 안전이별해라 개싸이코다,1
조울증이니?ㅠㅠ 누가 쟤 좀 말려라. 인터넷도 끊게하고 상담도 받게하고. 주변에 그런거 케어 해줄 사람 아무도 없냐,1
정신과 치료 좀 받아야 할듯,1
얘도 마약검사좀 저게정상으로보이나,1
고소당할까봐 더이상 안재현 얘기는 못하겠고 관심은 받고싶고 .. 발악을 하는게 눈에 보이네,1
진심 개 쌉 관종. 진짜 하나도 안불쌍,1
아니 무슨 정신병이 이따위로 걸릴 수가 있나.,1
왜 정상이 아닌것처럼 보이지?,1
반려동물들까지 걱정됨...진짜 사림 숨막히게 하는 스타일인 듯. 제3자도 피곤한데 당사자는 어후,1
좀 무서운거같아 정신세계가,1
정신이 온전한 애는 아닌거 같다 ㅡㅡ,1
이젠 무서울 정도다 병원 상담 해보길 추천한다..,1
나같아도 이혼하겠다! 저 미저리 봐라!,1
얘 좀 무섭게 느껴진다. 대체 왜 이러지?,1
성장과정에 문제가 있었던게 분명하다.,1
정신이상자 같다 .병원치료가 시급한거같네.,1
기사를 자꾸 올려주니 관종짓이 재미있나 봄,1
부정적이고 극단적이야 인간이 음흉스럽다 뭔생각으로 행동하는지 도무지 알수없음.자기자신에 취해서 바닥까지 끌어내리네..그만 좀 해라...안그래도 안좋은 이미지 더 나뻐진다,1
제대로.....ㄸㄹㅇ 소오름.....,1
정신병자야,1
저게 정상인가 ㅎㅎㅎ ,1
아 그냥 정신병자라니까...ㅋㅋㅋ,1
정신감정 좀 받아봐라,1
갈수록 증상이 심해지네~~,1
눈빛이 꼭..뭐같네어우 징그러,1
얼굴만 봐도 짜증나는 연예인은 얘가 처음이다.,1
정신과 가서 상담좀하세요,1
정신에 분명 이상이 있다. 병원에 입원 좀 시키자,1
보면볼수록 미쳤다 진짜,1
원래부터 이상한애......... 다재무능,1
존나 한심해보여요,1
진ㅉㅏ 개관종이구만...너... 진저리난다...ㅡㅜ 꺼져~~~~!!  기자냥반두라~~~~!!!  아무리 쓸 기사 없더라도... 얘 기사좀 쓰지마럿~!!!,1
"보는내가 다 질리는데,,,",1
이런  사람은  무관심이  최고의  방법이예요.,1
와 진짜 이 상황에서도.......;;; 진심 개관종;;,1
좀그만하세요ㅋ어떻게저렇게철면피이신지ㅡㅡ,1
미저리  여주 같아 ?????그래 견들아  니들은 날배신 안할거지 밤마다  눈부라리며 혼잣말 할듯,1
"역시 4차원 저 상황에서 저런 장난을... 눈치없는거 또 인정, 이제 노관심이 얘한테 필요한 처방이다.",1
제 정신이 아닌것같아 무서움..,1
저 정도면 정신분열이야,1
그만 좀 해 지겨워 진짜 언제까지 이럴거 처음엔 좀 불쌍해보였는데 계속 이러는거 보면 관종 같애 진짜 세상 자기만 억울하고 슬프고,1
아 꼴뵈기싫어죽겠네진짜로,1
얜 그냥 정신병자 ㅇㅇ,1
기사만봐도 증오스럽다 어휴,1
진심 병원가라,1
에혀~~~~ 참 안됏네 어린나이에 ㅉㅉㅉㅉㅉ 그냥 병원치료 좀 받기를 권장합니다!!,1
또라이 아니면 멍청한것. ,1
진짜 질린다 질려,1
정신병 수준이다.,1
눈에 독기봐라 무섭다 정신병 의심 ㅋㅋ,1
얘는 그냥 정신이 이상한듯. 신종돌+아이?,1
이건 악플이 아니라 그냥 보이는대로 좀 무섭다..애정결핍이 이렇게 무서운 병이구나..세상이 자기 중심적으로 돌아가는..자기만의 세계의 갇혀사는 불쌍한 사람..저 눈빛에서 발악하는게 보이네..,1
그냥 조용히.너가.뭘잘못했는지 생각해  그게.답이야 남탓함.나아지니?,1
"역대급..  ㅁ ㅣ 친 여자..   지 상처받았다고 눈에 뵈는게 없이 여기저기 들쑤시고 다니면서, 정작 자기는 피해자 코스프레.. ㅡㅡ",1
이제 무섭게 느껴진다.,1
저런 정신나간,1
정신병원 상담을권합니다 허세증에 이어서 정신분열증  초기증세,1
가족이없나요?????친정식구들은뭐하고있는지중증환자를 저렇게방치하고,1
눈빛도 정상은아닌것같고‥  으시시하다,1
쟤는 멘탈이 확실히 문제있다 그냥 돌아이다,1
정신과 가봐라 너가 상태가 더 안좋은거같다..정신병자,1
발연기라면 단연 국내 세손가락안에 든다고 봤는데 잘하는 연기분야가 있었구만??,1
치료좀 받아요.. ,1
얘 아픈 거 맞아~ 많이 아파.,1
요즘 역대급 관심을 즐기는듯도 하고 ㅋㅋ,1
집에 인터넷 좀 끊어라,1
안됐다. 발버둥치는게....,1
정신과 상담 좀 받아보시길..,1
