comment,label,,
 조주빈은 자살 안하냐 ,1,,  
 네티즌 갑론을박 지랄도 병이다 쓰레기 한남 하나 뒤진것에 대해 왜 기뻐하면 안되는데 꼴에 그것도 귀중한 생명이라고 말하고싶은거냐 생명은 개뿔 말못하는 동물보다 못한 인간말종이 살아서 뭐하냐 글고 솔까 도 기쁘진않다 저런 쓰레기가 자살을 도피처로 삼아 편하게 뒤지는게 역겨울뿐이지 하다하다 이놈의 언론은 쓰레기 한남 신상공개되고 처벌 무서워 뒤진 것까지 동정심 뿌리고 자빠졌네 ㅉㅉㅉ ,1,,  
 제대로 할꺼면 기왕이 중학생 성폭행 새 들이랑 중학생 차량절도 살인범 새 들도 비판하고 곡 좀 만들어봐라 내가 생각할때는 자살한 그놈도 잘한건 없지만 지가 잘못한거는 알고있으니 자살한거같은데 이 중학생 애 끼들은 지들이 잘못했다고 절대 생각안한다 앙 알겠냐고 ,1,,  
 넌야동도 안보고살앗냐 진짜 나쁜인간이내 ,1,,  
 내가하는 음주운전은 괜찮고 남이하는 불법음란물 시청자는 죽어도 싸고 ,1,,  
 스폰이나 구하던 애들도 정상아니지 걔들도 범법자임 번방 보고 자살한 애 동정심 도 안들고 스폰구하다 그거 당한 애들도 동정심 도 안듬 ,1,,
 죽어서 기쁘다고 말도 못해 어차피 인간도 아닌 쓰레기 오물찌꺼기 뒤지든 말든 잘된거 맞자나 지옥가서 니들끼리 ㅎㅈ빨고 엔번방 만들고 맘대로해 등신들아ㅋㅋ 너네 살아봤자 현실이 더 지옥일걸 ㅋㅋㅋ 신상공개되고 개돼지 취급받으면서 살던지 아니면 시원하게 뒤져서 지옥가라 ,1,,
 사필귀정 어쩔껀데 번방인간들은 인간이길 거부한 동물인것을 ,1,,
 범죄자들 죄다기어나와서 물타기하네 잠재적 살인마 버벌이 ,1,,
 음주운전 잠재적 살인마는 입 다물어라 ,1,,  
 개버렂이들 한강에서 쩜프해 ,1,,  
 ㅋㅋㅋㅋㅋㅋㅋ실뿜했 ,0,,  
 슈돌에 출연했던 설아 닮았어요 ,0,,
 ㅍㅎㅎㅎㅎㅎ사진보고빵터짐 ,0,,  
 와 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 닮앗어 ㅠㅠㅜ ,0,,  
 메인에 보이는 짤은 주진우고 얼마나 닮았길래 하고 클릭했다가 말잇못ㄷㄷㄷㄷㄷㄷ 진정한 뼈그맨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,0,,  
 파란 후드 벗어라 핑크후드가 이쁘다 ,0,,  
 좌파 커밍아웃 ,1,,
 닮았네 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,0,,  
 하필이면 그놈이냐 ,1,,
 갑자기 밥맛 뚝떨어지니까 헤어스탈 바꾸는게 어때요 나 안영미씨 좋아했는뎅 ,1,,  
 턱이닮았다 ㅎㅎ ,0,,  
 진심 빵ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,0,,
 약간 희끗희끗해야 완성인데 ,0,,
 아닌밤중에주진우입니다 같이 출연하면 잼나겠다 ,0,,
 개뿜었다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,0,,
 주진우 ㅋㅋㅋㅋ 왜요 주기자님 존멋인데 ,0,,
 얼마나 닮았겠어 하고 눌렀는데 진짜 비슷함ㅋㅋㅋㅋ ,0,,
 머리는 갤러리 정 인데 ㅋㅋㅋ ,0,,
 이주영닮았구만 ,0,,
 ㅋㅋㅋ 진짜 닮음 ,0,,
 저 발레단도웃긴게 나대한저새끼말고 학원강의 나간애들을 너무 처벌경도가 낮았음 그학원강의 나간둘이 에이스급이라 그런식으로 솜방망이처벌하니까 쟤가 재심을 신청할수밖에 없는거 세금받아쳐먹는것들은 다 썪었어 ,0,,
 꺼 져 ,1,,
 나대한이 분명 잘못한건 맞는데 생계가 막막해진상황이니까 그래도 살아야할거 아니냐 초기에만해도 이정도로 심각해질 거라곤 생각못했을거 같다 쟤편 들어줄라고 하는 말이 아니라 쟤도 저기서 짤리면 저나이에 어디가서 다른걸로 취직하기도 힘들고 뭔가 기회를 한번쯤은 더 줄수 있지 차라리 감봉이나 어차피 벌금도 내야되고 충분히 심정적으로도 고통스러웠을거다 저일을 겪고도 같은 우를 범하진 않겠지 보통 사람이라면 질타 받을만큼 받았고 반성도 많이 했다면 기회를 줄법도 하다 생각함 확진자 접촉 아니고 단순 격리근무였다면 ,0,,
 머리 탈모인듯 ,1,,
 와 정말 빠르다 이거보고 또 반성의 기미가 있네 어쩌네 하면서 봐주지만 않기를 ,1,,
 재심에 긍정적 영향 끼칠까해서 반성문 쓰듯 사과하는 듯 ,1,,
 일본이 한국 비자정지 하는데 큰 명분을 주심 일본 신문에 대서 특필 ,1,,
 뭐여 지금에서 뒷북오지네 사과문 올리라고 변호사가 시키든 ,1,,
 할거면 진작했지 지금 올리라고 발레단에서 시켰을듯 재심 신청되서 다시 복직하면 ㅋㅋㅋㅋ 진짜 발레단도 한통속이라고 밖엔 생각 안들듯 어차피 대중은 개돼지라고 생각하니까 대충 시간 때우다 복직시킬듯 ,1,,
 이제와서 ㅋㅋㅋㅋㅋㅋㅋ ,1,,
 반성문쓴거네ㅋㅋㅋ ,1,,
 인스타충들 트위터충들 페북충들 인생에서 걸러라 ,1,,
 재심을 하는 과정에서 선처를 받고싶어서 사과문을 올린듯한 느낌 나 반성했으니깐 짜르는건 너무 심한거아냐 봐줭 이런 느낌 ,1,,
 추후 미통당 영입 순위 ,1,,
 이거 지들끼리 말다맞춘거 아니냐 여론안좋을거같으니까 사과하는 시늉이라도 하라고 ,1,,
 탈모남 ,1,,
 하필 다녀온곳도 일본 자가격리 두번해야함 ,1,,
