comment,label
ㅋㅋ 돈 땡겨야하는디 방해물은 내치겠지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인생의 마지막 기회인디 ,1
이랬는데 아니면 더 욕쳐먹을텐데 ㅋㅋㅋ 폰 케이스랑 여러가지 정황상 빼박이던데 언능 인정하시는게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,1
어머 닮았다 돈 들어올 때 잡아라 ,1
설마 떳다고 차버리는건 아니것지 ,1
맞는데 아니라고 거짓말하는거보다는 인정하는게 낫지않나 ,1
ㅋㄱㄱㄱㄱㄱㅋㅋㄱ아니무슨아이돌도아니고 부인을ㅋㅋㅋ ,1
ㅋㅋ폰케이스 보니까 맞더만 여자 서운하겠다 ,1
폰케이스에서 빼박임 ,1
쫌 뜰라고 하니 발목이 잡히는구만 ㅋㅋㅋ ,1
에혀 여자 티남 이렇게까지 얼굴 알리고싶냐ㅜㅜ ,1
니가 왜 거기서 나와 ,0
폰케이스 증거가 너무 찜찜한데 본인이 아니라고 했으니 나중일은 본인이 책임지겠지 ,0
레옹 마틸다 빼박 ,0
돈에 눈멀어서 거짓말 하지 맣 ,1
영탁이 나락길 가는거냐 자제할 시기 아닌가 ,1
연애 해야될 나이이긴 하지만 아직은 아니라고 하는 것이 낫지ㅋㅋㅋ 영탁이 인기가 많아지긴 했나부다 이런저런 얘기 많이 나오네 ,0
사실이여도 아니고 아니여도 아니고 무조건 아니지 ,1
그래 물들어올때 노저어야지 여기서 스캔들 잘못 터지면 아줌마들 돌아선다 ㅋㅋㅋㅋㅋ ,1
