comment,label
매드맥스 분노의 도로.역작이자 명작.,0
성덕의 순수한표정이다. ㅎㅎㅎ 마지막 사진 넘 구엽. .   ♡ 이 언니는 늙지도않아. . .   멋지다.,0
소담 애기인형같다~너무 비현실적인 그림인데 자연스러워 ㅎㅎ 우리 배우님들 클라스,0
너무 귀엽고 사랑스럽다ㅠㅠㅠ,0
서양인들 이목구비는 진짜 ㅎㄷㄷ,0
샤를리즈테론 리즈 시절에 방송에서보고...너무 아름다워서 깜짝 놀랐던 기억이. 정말 세상에서 제일 예쁘다고 생각했음. 나이 들어도 여전히 멋지고 예쁘네.,0
사진 엄청 귀여운데. 그리고 샤를리즈 테론도 박소담과 같이 사진 찍어 매우 기쁜 듯 보임. 박소담 안은 손에 힘 꽉 들어 간 거 보면 ㅋ  별 관심없었으면 대충 어깨동무하고 말텐데,0
귀욥,0
너무  이쁘다,0
서양인이 보기에 얼마나 귀여울까싶어요ㅎ 아담하고 체구도 작고 동양적인 얼굴이니 더더더 이뻐했을 듯ㅎ 부럽!,0
아 긔여웤ㅋㅋㅋㅋㅋ 해외에서 밥은 잘 먹는거늬 ^_ㅠ,0
이름도 이쁘고 얼굴도 이쁘고.....엄마 좋겠다~~~~,0
"내 최애...ㅠㅠ.... 진짜 멋쁨 혼자다하고,,,,,.소담씨도 귀여워요..넘 부럽네여...흑.",0
"요즘 대세^^ 정말 볼수록 정이 가고, 귀여움을 발산하는 애교만점의 최고배우!! 테론도 나이가 들었지만, 여전히 아름답다. 위 사진을 보니 정말 다정한 친자매같다^^ 둘다 모두 흥해라^^",0
리즈적 테론만큼 완벽한 미모와 연기력을 갖춘배우는 헐리웃에 지금 없는듯~,0
넘 이쁜사진이다~^^♥둘다,0
매년 리즈구나^^ 귀여워^^,0
저리 아담하고 귀여운지 첨알았네..ㅋㅋ,0
와..... 나이먹어도 포스가 좔좔 존예보스네,0
와 개부럽다. 내기준 외국여배우 중 원탑으로 이쁜데... 박소담 개부럽..,0
저리보니 엄청 귀엽다.,0
오우야~부럽다 나도 팬인데,0
넘  매력있고 예의도 바르고 인성도 좋은것같더라   흥해라,0
세상 사랑스럽네요~~^^,0
넘나 멋지지. 심플한 정장까지 최고다.,0
애정하는 캐릭터들이다ㅜㅡㅠ,0
헐...진짜 언니...ㄷㄷㄷ나도 폭 안고싶당,0
