comment,label
미모는 글쎄...,1
솔직히 이쁘진 않다...,1
단체 환각인가? 어디가 이쁘다는거지?,1
연재가 인간의 미녀라면 쟤는 영장류의 미녀지ㅡㅡ,1
솔직히 이뿌냐? 너무 쎄보여,1
아사다 마오 보단 더럽게 못낫다,1
손연제가 여신이다 니는 000 이여,1
빠가 까를 만든 대표적인 케이스. 김연아 싫어하는 사람 아예 없었는데 극성 피줌마 때문에 생겨남,1
솔직해지자 예쁜건 아니잖아,1
박근혜가 악수청할때 김연아가 크게 화난 얼굴로 박근혜 대놓고 무시했으면서 자기는 박근혜 무시하지 않았다고 말하는 김연아 인성을 말하는건가? 손연재한테는 악플이 대다수고 김연아는 무조건 착하다 하는 연퀴 달창들 보면 박근혜 무시하면서 무시하지 않았다 하는 김연아 인성이랑 닮지 않았냐?,1
연아는 일 안하니? 사진만 찍어주고 돈버는거냐?,1
대놓고 휴대폰 광고하시네요 sns는 팬들과 소통하라고 있는겁니다 찬열이 천만 팔로워보면 뭐 느끼는거 없나요??,1
돈 떨어져 슬슬 기어 나오는것 같다,1
이제 서른 다 된 아쥼마네 피쥼마들이랑 친구 먹음 될 듯 ㅋㅋ,1
아줌마들만의 여신,1
비인기종목 빈집털이 여왕... 사실상 짐바브웨 여왕,1
"난 얘 남자친구가 대박이던데...어째 운동이랑 다른거 다 잘했는데 남자 잘못 만남,,,헛똑똑이더라,,,",1
솔직히 피겨는 잘하지만 얼굴이 여신은 아니잖아대학가만 가도 저거보다 더 이쁜애들 깔리고 깔렸다,1
얘도 인제 늙었다..,1
그냥 그랬다. 뭔말을 하든지 무슨 표정이든지 너는 그냥 그랬다. 속눈썹 그게 하나하나 힘주어 그린 듯이 너는 그냥 그랬다. 눈을 감았다가 뜨는 순간 얼굴 구석구석 애정을 담아 힘주어 그린 듯이 너는 그냥 그랬다. 내가 이렇게 조금 씩 조심히 보는 너의 모습하나하나를 너는 그냥 그랬다. 얄밉다 싶다가 따라웃게되고 나는 그량 그랬다. 너를 보면 나는 내 모습이 그냥 그랬다.,1
시집 가야지? 연아야.,1
그냥 30대 동네 아줌마구만 무슨...실력이 전설인건 맞지만 외모는 그냥 평균인데....,1
늙네 손톱 너무 아주미 안어울려,1
한혜진과    더불어   눈찢여자   남자들이  꺼리눈  스타일임  ㅋㅋㅋㅋㅋ   결혼못한다에   1표   던집니다  김연아,1
햇겟지?,1
너무 이뿐척만 하는거아녀?,1
진짜 능력있으면서 이쁘면 너무멋있게 보여요!!,0
둥글둥글하게 복스럽게생기면서 오동통 고급지게생겼어,0
세상아름답네,0
진짜 예쁘고 동안이다 여신미와 귀여움이 다 있어,0
