comment,label
정말 노래 대단하네요,0
가창력 대단하고.인기도  굉장해요.연예계의 별이 될꺼 같아요,0
노래만큼은  정말    넘사벽  맞다.   최고  맞다.  ,0
진짜 잘하네용,0
노래 정말잘해,0
티비 보는데 진짜 잘하긴 잘하네요,0
소름돋네요.  방송사에서 이케 파격대우하다니. 아무나 해주지 않쵸.,0
정말 타고났다는 말밖엔 표현할 방법이없다 대박이다 대박,0
지금 콘서트 방송 보고있는데 진짜 최고,0
신곡  좋네요,0
정말 대단합니다.~~엄청난 임팩트  . 카리스마  대단해요.~~,0
"직접 보진 못했지만 방송으로 설겆이도 미뤄둔채 본방사수중입니다, 들을수록 정이가는 음색입니다.꾸준하게 열심히 노래 부러세요~~^^",0
다른 가수 저 레파토리로 할수있는 사람없다 퀄리티좀봐라,0
정말 연예계의 별이네요 가창력도 대단하시고 너무 멋있으세요 카리스마도 엄청나시고 얼굴도 복스럽게 생기셔서 나이 상관없이 모두에게 사랑받으시는거같아요 존경합니다,0
최고네요,0
와~~팬덤 장난 아이네요 노래도 정말 잘하구요,0
노래 정말 정말 잘하는 가수가 나타났다 짱 멋집니다,0
신곡 넘 좋아요. 완전팬 되었습니다.,0
노래 천재,0
와..진짜  티비 보면서도 울었습니다.백만녀만에  한번 나올까말까 한 가수라는게 맞는듯,0
mbc 신경좀 썼네!! 감동이다!!!!,0
너무 잘하네요. 신곡도 너무좋고 ?넘 좋음ㆍ너무 인상도좋고  사랑스러움,0
울컥. 대박 기원,0
역사에 한획을 그은 가수임에 틀림없다..가슴이 아리다.. 음색에는  뭔가 특별한 뭔가가 있다...,0
중계볼려고  오늘  팔공산갓바위 갔다가   빨리   절하고  집에 온  1  인,0
대박 쳤다~,0
우와~~~대박!!!잘하네 잘해,0
진짜 엄마 아부지는 얼마나 행복하까,0
와..노래 하는 걸 제대로 처음 들었는데 왜 인기를 이렇게나 많이 받으시는지 알았습니다. 와 모라고 표현하고 싶은데.. 그냥 대박이네요 마음이 훈훈해지고 진심 더 좋습니다..! 응원합니다. 좋은 목소리 좋은 노래 좋은 음악 감사합니다 !,0
넘 좋아요. 눈물 나네요. 언제나 변함없이 응원합니다 ♡♡♡사랑합니다 ♡♡♡,0
진짜대단하네~~~~,0
막힘없는 가창력 최고네요,0
온가족 시청중~ 너무 잘해요ㆍ 인상도 너무 좋고,0
21세기 최고의 가수가 우리에게 나타났습니다. 우리곁에 와주져서 고맙습니다,0
너무 애절합니다. 한국의 비틀즈네요,0
영원하라♡,0
최고예요~~~~,0
노래는 참 맛깔나게 잘하네요,0
많이 많이 감동이다,0
최곱니다 좋네요,0
정말 최고중에 최고네요.준비잘하셨고 눈물나네요.천하제패 축하드려요????????????????????????????????,0
저런게 가수지,0
노래 정말 잘 부르네요.,0
와~~클라스가 다르네 ??,0
내가 좋아하는 이유 첫째 인상이 참 좋다 둘째 복스러우면서 화사하고 상큼하며 예쁘고 귀엽다 셋째 타의 추종을 불허할 정도의 명품 가창력으로 장르 불문하고 기가 막히게 노래 잘한다 넷째 참 좋은 인상에 걸맞게 인성갑이며 소탈하고 꾸밈이 없다 다섯째 팔방미인적 다재다능한 재주를 갖고있어 머리부터 발끝까지 온통 매력 덩어리이다 등등~!!!,0
사랑해요 ^.^ 요즘 덕분에 살맛나요 ㅠ완전 반했어요 ㅠㅜㅜ 노래 듣고있으면 희노애락을 다 느낄 수가 있어요 노래 해주셔서 감사해요. 건강 잘챙기셔서 오랫동안 노래해주세용 악플 신경 1도 쓰지마시구 법적대응 하시구요!상처받을시간에 팬들 생각하셔서 행복한것만 생각하셨으면 좋겟어요 ㅎ앞으로 활동 많이 기대할께요^0^,0
노래는 진짜 잘하네 인정,0
아 증말 눈물나네요 방송에서라도 일케 볼수있어서 넘 좋아요^^,0
눈물이 나서 혼났네요 너무 이쁘요,0
노래 넘 잘한다~~~  정성 가득한 노래로 행복한 맘 가득 안겨주네요~^^,0
노래 잘하는 가수는 많지만  눈물나게 해주는 가수는 없었다,0
최고에요.  눈물이나요,0
역대급이네요!너무 노래 잘하네요!,0
완전 최고이어라 시간 가는 줄 모르고 보고있네요 대단하네요~,0
정말 대단한 가수십니다~부디 목관리 잘하셔서 오래도록 좋은노래 불러주세요~가슴이 저립니다,0
대세긴 대세인가 보다...방송 끝나고 댓글달리는 속도가 ㅎㄷㄷㄷ~ 멋지고 대단하네~ 진짜 잘하네. ...,0
세상에 처음부터 끝까지한결같이 음정안흔들리고 노래를 너무너무잘해 보는내내활홍했어요,0
대세라길래 시청 했는데 엄청 잘하네 너무 잘해서 넋놓고 봤네요  응원합니다,0
사랑합니다~영원히요~~감동 감동 이여라~~~,0
와 보는내내 눈물나고 감동이네,0
응원합니다 최고~~~,0
잘해도  너~~무 잘해서  깜놀했네요~~햐~~정말  대단합니다~,0
역시 최고!!!♡,0
재밌어요 최고!! 화이팅!!,0
정말 잘했어요 응원할께요~!!!,0
와~~밖에 안나온다~대박이다~~완전 팬덤도 많고~~노래는 오늘 첨 듣는데 소름이 돋았음~,0
잘해도 너무 잘한다. 쩐다 ,0
CD 보다 라이브가 더 잘하고 더좋네요~기품있고 고급진 보이스~,0
노래 최고입니다.가창력 대박 진심 노래 잘합니다.,0
역시 최고네요 내가 팬이란게 자랑스럽고 행복합니다~사랑합니다~,0
눈물이ㅠㅠ역시,0
노래하면 관객들이 얼굴에 화색이 도네요. 화이팅!,0
대박,0
대단하오 혼자서 끝내주네~~,0
끝내 울었다 ㅠㅠㅠ,0
대박나세요  지금 넘   행복합니다,0
진짜 스타다...ㅋㅋ   대단하십니다.  응원해요~~~,0
"노래도 최고, 인성도 최고",0
최고여라,0
정말 아껴야할 가수다.,0
가히 독보적이네,0
노래를 진짜  한곡한곡 정성스럽게 잘한다.정말 감동,0
대단한 가수네요. 건강하고 초심 잃지않는 롱런하는 가수가 되길 부탁드립니다,0
내 인생의 한시절 그의 노래를 가까이 할 수 있었던 것은 행운중 행운이었다! 그의 노래와 세상을 바라 보는 태도에는 인간에 대한 진중한 사랑이 있고 뜨거운 가슴으로 상대를 대하는 눈물이 녹아 있으며 고난속에서도 포기하지 않는 민들레 같은 질긴 희망의 생명력이 있다.새로운 신새벽의 역사를 쓰기 바랍니다,0
방송 짧아서 너무 아쉬워요,0
대박이네요~~방구석 1열에서 감동받고 호강했습니다.,0
내가 다 고맙다,0
판소리 해도 대박일듯,0
대세입니다 . 관객과 호흡하는 무대 매너가 명품이네요. 감사 드립니다.,0
커다란  영향과 한획을 긋는 대세중에 대세임은 틀림 없습니다 항상 건강하시고 행복한 꽃길만 걸으시길 진심으로 응원합니다^^,0
정말 탑입니다,0
너무나 멋진무대 역시입니다.,0
와 진짜 감동과 전율입니다 대단합니다 화이팅 화이팅!!!,0
정말 사랑합니다.,0
진짜 최고입니다♡,0
대한민국  이 시대에 큰 경사 났네 명품 보석같은 걸쭉한인물이 났으니~!!,0
대단하다 대단해,0
최고중에 최고여라,0
시대가 원하는 가수가 탄생했다.,0
솔직히. 노래. 정말 잘한다.,0
역시 대세,0
외모보다 실력이다..이런 자존감를 보여주는 가수 ,0
정말 대형가수다.,0
감동이네요ㆍ,0
진짜 가수 ,0
수고 했어요,0
언제나 꽃길만 걸으세요 항상 행복하세요,0
정말 잘하네  대박나라 ,0
이건..역대급이다~,0
국보급  가수다~우리  모두가 아끼며 지켜야겠습니다,0
너무 좋아요,0
국민가수의 탄생,0
며칠전부터 알람맞춰놓고 기다린보람이있었네요...보는내내 가슴벅차서 울컥울컥했다는ㅜㅜ ,0
노래는 천재고 인성은 탑오브 탑입니다 사랑받기 당연합니다,0
사랑받기에 충분한 사람,0
당신이 있어서 이 세상이 행복합니다!!!!!!!!!!!!!,0
너무 예뻐요><><,0
맛있는거 많이 먹고 푹 쉬세요!!!!!!컨디션 조절 항상 잘하세요!!!!건강해야해요!,0
넘좋네요...수고많았어요..,0
너무 멋지고 노래 잘하고 짱♡,0
감동~ 감동이어라 ~넘 예쁘고 노래를 잘하니 뭐라 말로 표현할까요? 굿입니다,0
진가 정말 대단하네요,0
심금을 울리네요~~최고입니다~,0
꿈을 이룬다는 것 멋지고 훌륭하다,0
21세기의 최고의 연예인같다,0
울컥 사랑에 빠져봅시다,0
사랑합니다 진실된마음으로 팬과 소통해주세요 꼭 이나라에 한 획을 긋는 사람이 되어주세요,0
대한민국 원픽 ,0
앞으로 계속 응원하겠습니다,0
가인님 대성하길 홧이딩,0
화이팅!!,0
감동 그자체였습니다 뭔지 모르게 사람을 끌어당기는 힘이 있는듯합니다,0
어찌 그리 잘하나요 ??,0
와~~정말 넘사벽이네요^^응원합니다,0
이렇게나에게감동을주는가수는 처음,0
내 평생 첨으로 감동에 설레기는 첨이네,0
역시,0
잘한다~이쁘다~♡항상응원 할께요~,0
최고입니다~~감동입니다 대박나세요,0
대박날것같네요,0
뿌듯하구만~^^,0
대박나라 좋다,0
다 잘하네 ㅋㅋ 만능 엔터테이너,0
진짜 대단합니다 화이팅 화이팅~~  최고입니다,0
앞으로 100년후에도 남을 가수다.,0
역시 기대를 하게 만드네.,0
참말로 이뻐부러~몸매도 오지고 노래도 오진당께~,0
소름돋아요,0
방송보는데 마지막 왜 눈물이 날까요 ㅜ감동했어요,0
역시  인성갑  울컥했네요  ,0
인성이 정말 좋은것같아요 항상 응원할게요,0
성격도 너무 착하고 마음이 좋은것같네요,0
진짜 신이네 후덜덜,0
티비보면서 계속 울었어요  감사합니다  훌륭합니다,0
최고다 이쁘다,0
본방사수,0
감동이었습니다 정말 심금을 울리더군요 사랑합니다 감동이 복받쳐 아직도 가슴이 져려오네요 사랑합니다,0
격이 높아지네요~정신없이 봤습니다. 넘 시간이 빨리 갔어요~구,0
어른들이 왜 국보라고 하는지 알거같다 ㄹㅇ,0
눈호강 귀호강 감사했어요 ,0
